iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,yLPTime,maxFlowCutsTime,maxFlowCuts,intersectionCutsTime,phase1Time,noFeasibleSolution,error_message
1,5.0,48,48,1,,408.0,120.07863116264343,,,,,,,,,
2,10.0,48,48,3,,464.0,120.05077815055847,,,,,,,,,
3,15.0,48,48,4,,528.0,120.11119794845581,,,,,,,,,
4,20.0,48,48,5,,589.0,120.08961510658264,,,,,,,,,
5,25.0,48,48,6,,624.0,120.00031781196594,,,,,,,,,
6,30.0,48,48,8,,656.0,120.02128887176514,,,,,,,,,
7,35.0,48,48,10,,685.0,120.12732791900635,,,,,,,,,
8,40.0,48,48,11,,707.0,120.17149209976196,,,,,,,,,
9,45.0,48,48,13,,732.0,120.01385712623596,,,,,,,,,
10,50.0,48,48,14,,748.0,120.01659798622131,,,,,,,,,
11,55.0,48,48,16,,764.0,120.18789911270142,,,,,,,,,
12,60.0,48,48,18,,781.0,120.18091607093811,,,,,,,,,
13,65.0,48,48,19,,794.0,120.04229187965393,,,,,,,,,
14,70.0,48,48,22,,812.0,120.07169198989868,,,,,,,,,
15,75.0,48,48,24,,822.0,120.13364100456238,,,,,,,,,
16,80.0,48,48,26,,831.0,120.37545418739319,,,,,,,,,
17,85.0,48,48,28,,841.0,120.3195378780365,,,,,,,,,
18,90.0,48,48,29,,845.0,120.17508387565613,,,,,,,,,
19,95.0,48,48,31,,853.0,120.2460389137268,,,,,,,,,
20,100.0,48,48,33,,861.0,120.14107203483582,,,,,,,,,
21,105.0,48,48,35,,869.0,120.17410087585449,,,,,,,,,
22,110.0,48,48,36,,873.0,120.20761489868164,,,,,,,,,
23,115.0,48,48,38,,881.0,120.18664598464966,,,,,,,,,
24,120.0,48,48,40,,889.0,120.02467393875122,,,,,,,,,
25,125.0,48,48,41,,893.0,120.30143094062805,,,,,,,,,
26,130.0,48,48,43,,901.0,120.30687594413757,,,,,,,,,
27,135.0,48,48,44,,905.0,120.2479510307312,,,,,,,,,
28,140.0,48,48,46,,913.0,120.03376793861389,,,,,,,,,
29,145.0,48,48,48,all_positive_profit_blocks,921.0,120.11478805541992,,,,,,,,,
