iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,yLPTime,maxFlowCutsTime,maxFlowCuts,intersectionCutsTime,phase1Time,noFeasibleSolution,error_message
1,5.0,443,93,1,,9255.0,911.6454558372498,,,,,,,,,
2,10.0,443,93,3,,9611.0,902.3906390666962,,,,,,,,,
3,15.0,443,93,4,,9736.0,917.9959900379181,,,,,,,,,
4,20.0,443,93,6,,9916.0,900.9526300430298,,,,,,,,,
5,25.0,443,93,8,,9996.0,915.113431930542,,,,,,,,,
6,30.0,443,93,10,,10068.0,913.1410949230194,,,,,,,,,
7,35.0,443,93,11,,10108.0,914.079959154129,,,,,,,,,
8,40.0,443,93,12,,10152.0,914.1344330310822,,,,,,,,,
9,45.0,443,93,13,,10179.0,915.9988269805908,,,,,,,,,
10,50.0,443,93,15,,10231.0,911.9860308170319,,,,,,,,,
11,55.0,443,93,16,,10243.0,908.382807970047,,,,,,,,,
12,60.0,443,93,17,,10270.0,914.7458119392395,,,,,,,,,
13,65.0,443,93,18,,10295.0,907.4810440540314,,,,,,,,,
14,70.0,443,93,20,,10333.0,917.2552630901337,,,,,,,,,
15,75.0,443,93,21,,10350.0,917.4547519683838,,,,,,,,,
16,80.0,443,93,20,,10346.0,905.0999021530151,,,,,,,,,
17,85.0,443,93,22,,10373.0,903.6917080879211,,,,,,,,,
18,90.0,443,93,24,,10402.0,902.5087649822235,,,,,,,,,
19,95.0,443,93,25,,10412.0,909.0017509460449,,,,,,,,,
20,100.0,443,93,26,,10426.0,901.3613970279694,,,,,,,,,
21,105.0,443,93,27,,10439.0,906.999321937561,,,,,,,,,
22,110.0,443,93,28,,10449.0,903.6875100135803,,,,,,,,,
23,115.0,443,93,29,,10467.0,915.6978940963745,,,,,,,,,
24,120.0,443,93,31,,10479.0,906.6290948390961,,,,,,,,,
25,125.0,443,93,31,,10487.0,913.7560749053955,,,,,,,,,
26,130.0,443,93,33,,10503.0,917.6530618667603,,,,,,,,,
27,135.0,443,93,35,,10519.0,903.22687292099,,,,,,,,,
28,140.0,443,93,35,,10517.0,910.9403228759766,,,,,,,,,
29,145.0,443,93,36,,10525.0,912.9124929904938,,,,,,,,,
30,150.0,443,93,37,,10536.0,901.0307319164276,,,,,,,,,
31,155.0,443,93,38,,10546.0,905.8050169944763,,,,,,,,,
32,160.0,443,93,40,,10565.0,909.9684538841248,,,,,,,,,
33,165.0,443,93,41,,10572.0,908.7037770748138,,,,,,,,,
34,170.0,443,93,42,,10582.0,914.7492990493774,,,,,,,,,
35,175.0,443,93,43,,10591.0,914.937285900116,,,,,,,,,
36,180.0,443,93,43,,10601.0,911.1515400409698,,,,,,,,,
37,185.0,443,93,46,,10609.0,909.0584897994995,,,,,,,,,
38,190.0,443,93,48,,10624.0,912.6771049499512,,,,,,,,,
39,195.0,443,93,48,,10636.0,909.5384941101074,,,,,,,,,
40,200.0,443,93,47,,10625.0,902.7395329475403,,,,,,,,,
41,205.0,443,93,51,,10636.0,904.299075126648,,,,,,,,,
42,210.0,443,93,50,,10641.0,903.2223119735718,,,,,,,,,
43,215.0,443,93,51,,10650.0,907.4130690097809,,,,,,,,,
