iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,yLPTime,maxFlowCutsTime,maxFlowCuts,intersectionCutsTime,phase1Time,noFeasibleSolution,error_message
1,5.0,26,26,2,,208.00,0.21127949,0.0,0,0.14425717,0.286465203,2,0.972871789,,,
2,10.0,26,26,3,,364.00,600.025956071,0.024725274725267934,60000,0.322602475,2.464845096,555,cached,,,
3,15.0,26,26,6,,475.00,272.29334338,0.0,18000,0.520340554,0.215537283,30,cached,,,
4,20.0,26,26,8,,551.00,600.025042403,0.01839938339861983,36200,1.113522861,1.171096975,149,cached,,,
5,25.0,26,26,10,,622.00,600.02995652,0.014469453376204191,17200,0.565634061,5.921382869,351,cached,,,
6,30.0,26,26,13,,666.00,600.008072247,0.010786579763930349,31728,0.235679357,1.218303889,66,cached,,,
7,35.0,26,26,15,,704.00,600.01075478,0.015531924992683332,8206,0.412230801,11.888426431,465,cached,,,
8,40.0,26,26,16,,739.00,600.011064499,0.012178619756425956,8094,1.165564745,11.206667862,483,cached,,,
9,45.0,26,26,18,,768.00,600.015288233,0.005208333333334727,9640,0.614835789,8.587599375,423,cached,,,
10,50.0,26,26,20,,790.00,600.027598369,0.0050632911392407285,3463,3.687391502,9.399266091,553,cached,,,
11,55.0,26,26,22,,808.00,600.012590601,0.004950495049504619,1453,0.135046032,10.06726447,645,cached,,,
12,60.0,26,26,24,,816.00,600.148680708,0.0068935696867770705,15500,0.473147405,19.863717219,1158,cached,,,
13,65.0,26,26,0,error,,,,,,,,,,,Result index of attribute MathOptInterface.ObjectiveValue(1) out of bounds. There are currently 0 solution(s) in the model.
