iteration,budget_T,num_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,phase1Time,noFeasibleSolution,error_message
1,5.0,73,2,,208.00,0.261457309,0.0,95,0.5257971286773682,,
2,10.0,73,4,,345.00,600.000563591,0.04347826086955344,554108,0.008148908615112305,,
3,15.0,73,5,,469.00,600.000442218,0.06730215290117919,435394,0.12471914291381836,,
4,20.0,73,7,,586.00,600.000585824,0.011059917973261781,338411,0.008433103561401367,,
5,25.0,73,9,,670.00,216.113151847,0.0,159173,0.12604904174804688,,
6,30.0,73,11,,727.00,600.000524011,0.013486466227308074,307008,0.008907079696655273,,
7,35.0,73,13,,777.00,600.000519205,0.01763037159438972,305439,0.06949687004089355,,
8,40.0,73,15,,822.00,600.000561484,0.016592504616221918,253294,0.10609912872314453,,
9,45.0,73,17,,860.00,600.001594963,0.010948642571758921,216192,0.008432865142822266,,
10,50.0,73,19,,889.00,600.00042875,0.011517062757572328,219273,0.10312795639038086,,
11,55.0,73,21,,911.00,600.000768774,0.008019065903202283,250963,0.008249044418334961,,
12,60.0,73,24,,927.00,600.00040343,0.0020527453547675052,242373,0.12495803833007812,,
13,65.0,73,24,,935.00,600.000350614,0.0042780748663097026,240085,0.00835108757019043,,
14,70.0,73,26,,943.00,600.000645561,0.004241781548249815,223030,0.09494495391845703,,
15,75.0,73,27,,947.00,3.526231568,0.0,1796,0.007971048355102539,,
16,80.0,73,27,,947.00,3.175456991,0.0,1403,0.022662878036499023,,
17,85.0,73,27,,947.00,2.926487618,0.0,2379,0.00783085823059082,,
18,90.0,73,27,,947.00,2.755268184,0.0,2478,0.014918088912963867,,
19,95.0,73,27,,947.00,2.461241804,0.0,1395,0.01435399055480957,,
20,100.0,73,27,,947.00,8.702606713,0.0,10938,0.007960081100463867,,
21,105.0,73,27,,947.00,0.785496037,0.0,495,0.0152740478515625,,
22,110.0,73,27,,947.00,1.754578373,0.0,1198,0.008466958999633789,,
23,115.0,73,27,,947.00,0.625470074,0.0,984,0.014727115631103516,,
24,120.0,73,27,,947.00,0.812334869,0.0,986,0.008031845092773438,,
25,125.0,73,27,,947.00,0.64817857,0.0,494,0.014816999435424805,,
26,130.0,73,27,,947.00,2.552620209,0.0,1494,0.007781982421875,,
27,135.0,73,27,,947.00,3.346744975,0.0,1992,0.015053033828735352,,
28,140.0,73,27,,947.00,8.843566602,0.0,12879,0.007920980453491211,,
29,145.0,73,27,,947.00,2.105958197,0.0,905,0.014782905578613281,,
30,150.0,73,27,max_T,947.00,10.512224129,0.0,11405,0.013885021209716797,,
