iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,phase1Time,noFeasibleSolution,error_message
1,5.0,73,27,2,,232.00,0.606142487,0.0,907,0.5249691009521484,,
2,10.0,73,27,4,,377.00,600.001128971,0.058526112085864695,404275,0.008174896240234375,,
3,15.0,73,27,5,,521.00,600.000598139,0.07748618163316809,414165,0.07360100746154785,,
4,20.0,73,27,7,,659.00,600.000863029,0.011292615910818114,257727,0.010370016098022461,,
5,25.0,73,27,9,,747.00,571.148081685,0.0,252638,0.15261292457580566,,
6,30.0,73,27,12,,811.00,600.000486397,0.013554157102469966,259931,0.008895158767700195,,
7,35.0,73,27,13,,874.00,600.001652206,0.009760482157493675,238806,0.07778000831604004,,
8,40.0,73,27,15,,919.00,600.000730633,0.01662170984446401,232636,0.05646085739135742,,
9,45.0,73,27,17,,963.00,600.001987339,0.011988611052417286,183294,0.009130001068115234,,
10,50.0,73,27,19,,994.00,600.000453832,0.011515233978057126,200911,0.06695985794067383,,
11,55.0,73,27,21,,1018.00,600.000470565,0.009606805192397974,223461,0.009184122085571289,,
12,60.0,73,27,24,,1036.00,600.00146873,0.002019043910893198,190551,0.135361909866333,,
13,65.0,73,27,24,,1044.00,600.001679841,0.0038314176245207057,212795,0.011399030685424805,,
14,70.0,73,27,26,,1052.00,600.000715895,0.003802281368820931,206130,0.07858705520629883,,
15,75.0,73,27,27,all_positive_profit_blocks,1056.00,2.112279877,0.0,1197,0.00914907455444336,,
