instance,|V|,|A|,|B|,T,Components,ComponentsSelection,Profits,Algorithm,%numVisitedBlocks,%numVisitedBlocksNodes,%repeatedArcs,%repeatedNodes,%tourTotalMinutes,%blocksTotalMinutes,%tourMinutes,%blocksMinutes
1,25,600,5,120,multiple,random,random,BRKGA,100.0,2.542372881355932,0.0,1.694915254237288,10.835,6.035,64.22643746295199,35.773562537048015
2,55,2970,5,120,multiple,random,random,BRKGA,100.0,3.018867924528302,0.0,10.18867924528302,12.879999999999999,13.285,49.22606535448117,50.77393464551883
3,45,1980,5,120,multiple,random,random,BRKGA,100.0,1.3582342954159592,0.0,3.735144312393888,24.3,6.69,78.41239109390125,21.58760890609874
4,51,2550,5,120,multiple,random,random,BRKGA,100.0,1.6260162601626016,0.0,0.975609756097561,28.531249999999996,12.865,68.92230576441102,31.07769423558897
5,57,3192,5,120,multiple,random,random,BRKGA,100.0,1.3539651837524178,0.0,0.19342359767891681,23.85375,5.834999999999999,80.34609069091829,19.653909309081723
6,104,10712,10,120,multiple,random,random,BRKGA,100.0,3.4059945504087192,0.0,8.991825613079019,31.278750000000002,14.390000000000002,68.49048857260162,31.509511427398387
7,93,8556,10,120,multiple,random,random,BRKGA,100.0,3.5670356703567037,0.0,8.733087330873309,33.707499999999996,10.280000000000001,76.62972435350952,23.370275646490484
8,110,11990,10,120,multiple,random,random,BRKGA,100.0,4.767441860465116,0.0,8.023255813953488,33.67,12.775,72.49434815373023,27.50565184626978
9,91,8190,10,120,multiple,random,random,BRKGA,100.0,7.291666666666667,0.0,3.125,13.276250000000001,17.725,42.824886093302695,57.17511390669732
10,125,15500,10,120,multiple,random,random,BRKGA,100.0,3.2544378698224854,0.0,9.023668639053254,30.505000000000003,30.634999999999998,49.89368662087014,50.106313379129865
11,155,23870,15,120,multiple,random,random,BRKGA,100.0,3.642384105960265,0.0,4.635761589403973,28.416249999999998,37.535,43.08674968253065,56.913250317469334
12,138,18906,15,120,multiple,random,random,BRKGA,100.0,5.2823315118397085,0.0,14.571948998178506,23.66,36.010000000000005,39.651416122004356,60.34858387799565
13,256,65280,15,120,multiple,random,random,BRKGA,100.0,7.270233196159122,0.27472527472527475,9.602194787379972,28.873749999999998,38.875,42.618867506780575,57.38113249321944
14,257,65792,15,120,multiple,random,random,BRKGA,93.33333333333333,4.796511627906977,0.0,7.558139534883721,29.4775,70.07,29.61149200130591,70.3885079986941
15,170,28730,15,120,multiple,random,random,BRKGA,100.0,6.32183908045977,0.0,4.741379310344827,29.883750000000003,30.345000000000002,49.617084863956165,50.382915136043835
16,200,39800,20,120,multiple,random,random,BRKGA,100.0,8.22695035460993,0.0,6.382978723404255,30.7575,34.1,47.42319700882704,52.576802991172954
17,215,46010,20,120,multiple,random,random,BRKGA,100.0,7.492354740061162,0.0,3.9755351681957185,30.146250000000002,37.405,44.62722747543532,55.37277252456469
18,158,24806,20,120,multiple,random,random,BRKGA,100.0,5.5222088835534215,1.0817307692307692,12.605042016806722,35.81875,46.92,43.29138402501851,56.7086159749815
19,192,36672,20,120,multiple,random,random,BRKGA,100.0,8.333333333333334,0.7194244604316546,5.603448275862069,31.286250000000003,50.75,38.137104024135674,61.862895975864326
20,169,28392,20,120,multiple,random,random,BRKGA,100.0,6.367924528301887,0.0,3.5377358490566038,38.9825,41.61,48.36988553525452,51.63011446474547
21,228,51756,25,120,multiple,random,random,BRKGA,100.0,5.390539053905391,0.0,10.781078107810782,39.2275,57.190000000000005,40.68504161588923,59.314958384110774
22,330,108570,25,120,multiple,random,random,BRKGA,100.0,14.643799472295514,0.0,8.443271767810026,32.53125,58.58500000000001,35.703016750579614,64.29698324942038
23,257,65792,25,120,multiple,random,random,BRKGA,100.0,8.466257668711657,0.0,5.644171779141105,40.847500000000004,55.385000000000005,42.44667861689138,57.55332138310862
24,282,79242,25,120,multiple,random,random,BRKGA,100.0,8.412483039348711,0.1358695652173913,8.14111261872456,35.03,63.17,35.67209775967414,64.32790224032587
25,247,60762,25,120,multiple,random,random,BRKGA,100.0,10.76487252124646,0.0,3.5410764872521248,32.294999999999995,53.355,37.705779334500875,62.29422066549912
26,343,117306,30,120,multiple,random,random,BRKGA,86.66666666666667,12.197928653624857,0.0,9.090909090909092,39.447500000000005,60.535,39.454404520791144,60.54559547920886
27,285,80940,30,120,multiple,random,random,BRKGA,96.66666666666667,10.119840213049267,0.0,9.85352862849534,33.485,61.489999999999995,35.25664648591735,64.74335351408264
28,320,102080,30,120,multiple,random,random,BRKGA,90.0,6.695005313496281,0.9574468085106383,13.708820403825717,42.01,57.93,42.03522113267961,57.9647788673204
29,612,373932,30,120,multiple,random,random,BRKGA,93.33333333333333,13.048780487804878,1.221001221001221,10.975609756097562,38.37875,61.32000000000001,38.49471532993142,61.50528467006859
30,297,87912,30,120,multiple,random,random,BRKGA,100.0,9.212121212121213,0.0,11.878787878787879,37.715,57.379999999999995,39.66033966033966,60.339660339660334
