instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs,Components,ComponentsSelection,Profits,Algorithm
10,75,5550,10,120,SOL-STATS,51,20524,30.786,4027,24.162,10,156,491,128,61,single,random,random,IP
11,105,10920,15,120,SOL-STATS,56,29838,44.757,6309,37.854,15,292,767,202,174,single,random,random,IP
12,107,11342,15,120,SOL-STATS,48,36902,55.353,5624,33.744,15,301,941,240,247,single,random,random,IP
13,116,13340,15,120,SOL-STATS,73,29818,44.727,4861,29.166,15,345,825,200,170,single,random,random,IP
14,96,9120,15,120,SOL-STATS,55,27188,40.782,5800,34.8,15,252,627,173,152,single,random,random,IP
15,107,11342,15,120,SOL-STATS,63,29534,44.301,6543,39.258,15,342,688,185,140,single,random,random,IP
16,222,49062,20,120,SOL-STATS,87,48949,73.4235,9298,55.788,20,711,1338,330,323,single,random,random,IP
17,163,26406,20,120,SOL-STATS,76,31159,46.7385,7953,47.718,20,447,829,174,165,single,random,random,IP
18,223,49506,20,120,SOL-STATS,85,50955,76.4325,8259,49.554,20,622,1311,350,333,single,random,random,IP
19,146,21170,20,120,SOL-STATS,82,36533,54.7995,9373,56.238,20,365,873,210,165,single,random,random,IP
1,31,930,5,120,SOL-STATS,18,8804,13.206,1585,9.51,5,66,239,64,43,single,random,random,IP
20,165,27060,20,120,SOL-STATS,75,50277,75.4155,8579,51.474,20,730,1399,287,412,single,random,random,IP
21,216,46440,25,120,SOL-STATS,78,47273,70.9095,10145,60.87,24,566,1170,307,302,single,random,random,IP
22,225,50400,25,120,SOL-STATS,94,38558,57.837,11933,71.598,24,516,974,269,211,single,random,random,IP
23,203,41006,25,120,SOL-STATS,87,44964,67.446,10095,60.57,25,538,1165,283,259,single,random,random,IP
24,264,69432,25,120,SOL-STATS,96,38075,57.1125,11731,70.386,24,528,950,214,192,single,random,random,IP
25,236,55460,25,120,SOL-STATS,105,43438,65.157,11095,66.57,24,567,1032,285,211,single,random,random,IP
26,214,45582,30,120,SOL-STATS,135,40700,61.05,11916,71.496,29,552,933,260,194,single,random,random,IP
27,266,70490,30,120,SOL-STATS,118,35237,52.8555,13336,80.016,30,580,888,241,160,single,random,random,IP
28,236,55460,30,120,SOL-STATS,120,37999,56.9985,12744,76.464,28,588,859,216,178,single,random,random,IP
29,235,54990,30,120,SOL-STATS,111,32725,49.0875,12659,75.954,30,472,760,219,122,single,random,random,IP
2,58,3306,5,120,SOL-STATS,21,8629,12.9435,2583,15.498,5,99,193,47,48,single,random,random,IP
30,266,70490,30,120,SOL-STATS,111,36441,54.6615,13287,79.722,29,572,940,246,184,single,random,random,IP
31,240,57360,35,120,SOL-STATS,153,37102,55.653,13418,80.508,33,489,919,242,163,single,random,random,IP
32,287,82082,35,120,SOL-STATS,124,40487,60.7305,12538,75.228,34,606,1039,262,197,single,random,random,IP
33,313,97656,35,120,SOL-STATS,127,27290,40.935,15883,95.298,33,517,656,170,54,single,random,random,IP
34,263,68906,35,120,SOL-STATS,145,34104,51.156,13267,79.602,32,469,793,192,105,single,random,random,IP
35,269,72092,35,120,SOL-STATS,152,28150,42.225,15136,90.816,32,425,597,142,90,single,random,random,IP
36,345,118680,40,120,SOL-STATS,138,31766,47.649,14408,86.448,36,533,845,230,125,single,random,random,IP
37,287,82082,40,120,SOL-STATS,151,29997,44.9955,15084,90.504,35,461,659,161,80,single,random,random,IP
38,374,139502,40,120,SOL-STATS,143,34882,52.323,13658,81.948,33,620,906,270,172,single,random,random,IP
39,356,126380,40,120,SOL-STATS,168,29390,44.085,15112,90.672,36,547,750,192,111,single,random,random,IP
3,22,462,5,120,SOL-STATS,27,7001,10.5015,1924,11.544,5,31,146,28,7,single,random,random,IP
40,269,72092,40,120,SOL-STATS,145,29418,44.127,14927,89.562,33,363,552,133,63,single,random,random,IP
41,356,126380,45,120,SOL-STATS,150,35985,53.9775,14045,84.27,35,421,900,218,158,single,random,random,IP
42,367,134322,45,120,SOL-STATS,173,28569,42.8535,16446,98.676,42,608,769,176,100,single,random,random,IP
