instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs
10,75,5550,10,120.0,SOL-STATS,51.0,3546.0,5.318999999999999,4027.0,24.162,10,26,117,1,0
11,105,10920,15,120.0,SOL-STATS,56.0,5525.0,8.287500000000001,6309.0,37.854,15,39,155,12,1
12,107,11342,15,120.0,SOL-STATS,48.0,4616.0,6.9239999999999995,5624.0,33.74400000000001,15,25,138,7,0
13,116,13340,15,120.0,SOL-STATS,73.0,4901.0,7.3515000000000015,4861.0,29.166000000000004,15,53,150,4,0
14,96,9120,15,120.0,SOL-STATS,55.0,5833.0,8.749499999999998,5800.0,34.8,15,32,159,3,0
15,107,11342,15,120.0,SOL-STATS,63.0,6021.0,9.031500000000001,6543.0,39.25800000000001,15,44,155,4,2
16,222,49062,20,120.0,SOL-STATS,87.0,6877.0,10.3155,9298.0,55.788,20,60,176,18,0
17,163,26406,20,120.0,SOL-STATS,76.0,6148.0,9.222000000000001,7953.0,47.717999999999996,20,69,184,19,2
18,223,49506,20,120.0,SOL-STATS,85.0,7746.0,11.619,8259.0,49.553999999999995,20,63,208,17,0
19,146,21170,20,120.0,SOL-STATS,82.0,6771.0,10.156500000000001,9373.0,56.23800000000001,20,51,182,14,9
1,31,930,5,120.0,SOL-STATS,18.0,1807.0,2.7104999999999997,1585.0,9.51,5,8,62,0,0
20,165,27060,20,120.0,SOL-STATS,75.0,6503.0,9.7545,8579.0,51.47399999999999,20,51,166,7,0
21,216,46440,25,120.0,SOL-STATS,79.0,7683.0,11.524500000000003,10839.0,65.034,25,48,208,23,0
22,225,50400,25,120.0,SOL-STATS,97.0,6830.0,10.245000000000005,13124.0,78.74400000000001,25,109,188,30,0
23,203,41006,25,120.0,SOL-STATS,87.0,7480.0,11.219999999999999,10095.0,60.56999999999999,25,60,224,18,2
24,264,69432,25,120.0,SOL-STATS,97.0,6740.0,10.11,12294.0,73.76400000000001,25,75,176,7,0
25,236,55460,25,120.0,SOL-STATS,106.0,7015.0,10.522500000000008,11449.0,68.69400000000002,25,63,200,12,0
26,214,45582,30,120.0,SOL-STATS,137.0,7581.0,11.371499999999997,12226.0,73.35600000000001,30,61,195,13,0
27,266,70490,30,120.0,SOL-STATS,118.0,7777.0,11.665499999999994,13336.0,80.016,30,112,197,35,2
28,236,55460,30,120.0,SOL-STATS,122.0,9326.0,13.989000000000004,13622.0,81.73200000000003,30,103,244,22,4
29,235,54990,30,120.0,SOL-STATS,111.0,8334.0,12.501000000000005,12659.0,75.954,30,91,219,24,0
2,58,3306,5,120.0,SOL-STATS,21.0,2658.0,3.9869999999999983,2583.0,15.498000000000001,5,5,65,5,0
30,266,70490,30,120.0,SOL-STATS,113.0,8460.0,12.689999999999998,14272.0,85.632,30,96,232,30,10
31,240,57360,35,120.0,SOL-STATS,155.0,8454.0,12.680999999999997,14169.0,85.01399999999998,35,88,245,17,11
32,287,82082,35,120.0,SOL-STATS,125.0,8074.0,12.111000000000004,12944.0,77.664,35,88,219,29,2
33,313,97656,35,120.0,SOL-STATS,129.0,8341.0,12.511499999999998,17485.0,104.90999999999998,35,115,234,28,7
34,263,68906,35,120.0,SOL-STATS,149.0,8398.0,12.597000000000008,15156.0,90.93599999999998,35,87,207,21,7
35,269,72092,35,120.0,SOL-STATS,156.0,8850.0,13.275000000000006,17276.0,103.65599999999999,35,122,246,26,1
36,345,118680,40,120.0,SOL-STATS,143.0,11936.0,17.903999999999996,16879.0,101.27399999999999,39,173,347,70,14
37,287,82082,40,120.0,SOL-STATS,156.0,11766.0,17.649,17056.0,102.336,39,111,302,38,10
38,374,139502,40,120.0,SOL-STATS,156.0,9342.0,14.013000000000005,17647.0,105.88199999999999,40,127,257,38,7
39,356,126380,40,120.0,SOL-STATS,174.0,8542.0,12.813000000000002,17358.0,104.14800000000002,40,133,224,3,0
3,22,462,5,120.0,SOL-STATS,27.0,2845.0,4.2675,1924.0,11.544,5,6,71,6,0
40,269,72092,40,120.0,SOL-STATS,152.0,7135.0,10.7025,18188.0,109.128,37,106,172,21,0
41,356,126380,45,120.0,SOL-STATS,177.0,10839.0,16.258499999999998,17178.0,103.068,42,106,267,21,2
42,367,134322,45,120.0,SOL-STATS,175.0,10317.0,15.475499999999997,17296.0,103.776,44,151,305,56,12
43,408,166056,45,120.0,SOL-STATS,175.0,9994.0,14.991,17442.0,104.65200000000002,41,125,266,32,1
44,335,111890,45,120.0,SOL-STATS,177.0,11551.0,17.326499999999996,17029.0,102.17400000000002,44,143,317,37,8
45,392,153272,45,120.0,SOL-STATS,164.0,12431.0,18.646500000000003,16845.0,101.07000000000002,42,118,290,42,9
46,376,141000,50,120.0,SOL-STATS,166.0,11446.0,17.168999999999997,17115.0,102.69,45,134,319,41,8
47,372,138012,50,120.0,SOL-STATS,192.0,10336.0,15.504000000000005,17362.0,104.172,43,131,288,46,27
48,357,127092,50,120.0,SOL-STATS,203.0,8787.0,13.180499999999995,17695.0,106.17000000000002,45,114,256,42,3
49,359,128522,50,120.0,SOL-STATS,183.0,11412.0,17.117999999999995,17065.0,102.39000000000001,43,136,275,39,9
4,25,600,5,120.0,SOL-STATS,14.0,1010.0,1.5150000000000006,2405.0,14.43,5,9,21,2,0
50,460,211140,50,120.0,SOL-STATS,174.0,9001.0,13.501500000000007,17738.0,106.42799999999998,39,124,245,55,2
51,427,181902,55,120.0,SOL-STATS,210.0,10313.0,15.469499999999996,17304.0,103.824,44,186,325,54,8
52,329,107912,55,120.0,SOL-STATS,198.0,8725.0,13.087500000000006,17802.0,106.81200000000004,45,106,229,17,2
53,408,166056,55,120.0,SOL-STATS,211.0,11648.0,17.47200000000001,17007.0,102.04199999999997,44,133,322,57,12
54,427,181902,55,120.0,SOL-STATS,200.0,10209.0,15.313500000000005,17395.0,104.37,44,136,261,21,10
55,402,161202,55,120.0,SOL-STATS,180.0,12400.0,18.60000000000001,16884.0,101.30400000000002,43,174,344,69,25
56,479,228962,60,120.0,SOL-STATS,196.0,9107.0,13.660499999999999,17707.0,106.242,47,144,248,24,4
57,450,202050,60,120.0,SOL-STATS,218.0,12380.0,18.570000000000007,16856.0,101.13599999999998,43,132,301,57,8
58,446,198470,60,120.0,SOL-STATS,208.0,10948.0,16.421999999999997,17252.0,103.51200000000003,41,117,280,31,5
59,482,231842,60,120.0,SOL-STATS,208.0,11596.0,17.394000000000005,17097.0,102.582,44,158,312,56,12
5,50,2450,5,120.0,SOL-STATS,25.0,3901.0,5.8515000000000015,1723.0,10.338000000000001,5,5,120,4,0
60,458,209306,60,120.0,SOL-STATS,206.0,8335.0,12.502499999999998,17909.0,107.45400000000001,48,138,220,17,6
61,495,244530,65,120.0,SOL-STATS,202.0,11289.0,16.933499999999995,17122.0,102.73199999999999,45,143,302,52,20
62,533,283556,65,120.0,SOL-STATS,218.0,10284.0,15.426000000000002,17429.0,104.57399999999996,43,141,274,36,5
63,450,202050,65,120.0,SOL-STATS,201.0,9731.0,14.596500000000006,17547.0,105.28199999999998,41,131,248,43,11
64,528,278256,65,120.0,SOL-STATS,244.0,12384.0,18.575999999999993,16864.0,101.184,45,169,342,65,18
65,502,251502,65,120.0,SOL-STATS,204.0,11661.0,17.491500000000002,17017.0,102.102,46,228,376,95,53
66,452,203852,70,120.0,SOL-STATS,231.0,13540.0,20.310000000000002,16604.0,99.62399999999997,50,127,322,51,4
67,477,227052,70,120.0,SOL-STATS,237.0,8509.0,12.763499999999993,17733.0,106.398,46,116,218,22,3
68,485,234740,70,120.0,SOL-STATS,229.0,12432.0,18.647999999999996,16855.0,101.13,47,183,362,76,7
69,532,282492,70,120.0,SOL-STATS,261.0,11105.0,16.6575,17128.0,102.768,47,142,300,48,14
6,114,12882,10,120.0,SOL-STATS,37.0,4699.0,7.048499999999997,5778.0,34.668,10,34,108,17,0
70,532,282492,70,120.0,SOL-STATS,228.0,10633.0,15.9495,17260.0,103.56000000000003,43,128,263,47,9
71,567,320922,75,120.0,SOL-STATS,259.0,9327.0,13.990499999999997,17667.0,106.00199999999997,48,178,292,41,6
72,524,274052,75,120.0,SOL-STATS,235.0,11985.0,17.977500000000006,16984.0,101.90400000000001,48,165,357,67,17
73,583,339306,75,120.0,SOL-STATS,218.0,12926.0,19.388999999999996,16756.0,100.53599999999997,46,161,362,49,16
74,598,357006,75,120.0,SOL-STATS,259.0,12676.0,19.013999999999996,16828.0,100.96799999999999,48,226,373,75,14
75,552,304152,75,120.0,SOL-STATS,231.0,8820.0,13.230000000000004,17759.0,106.55399999999999,45,136,254,14,2
76,601,360600,80,120.0,SOL-STATS,245.0,10899.0,16.3485,17205.0,103.22999999999998,43,138,297,57,7
77,598,357006,80,120.0,SOL-STATS,252.0,13162.0,19.74300000000001,16672.0,100.032,48,196,396,86,43
