instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs
10,75,5550,10,120.0,SOL-STATS,10.0,3546.0,5.318999999999999,4027.0,24.162,10,26,117,1,0
11,105,10920,15,120.0,SOL-STATS,15.0,5525.0,8.287500000000001,6309.0,37.854,15,39,155,12,1
12,107,11342,15,120.0,SOL-STATS,15.0,4616.0,6.9239999999999995,5624.0,33.74400000000001,15,25,138,7,0
13,116,13340,15,120.0,SOL-STATS,15.0,4901.0,7.3515000000000015,4861.0,29.166000000000004,15,53,150,4,0
14,96,9120,15,120.0,SOL-STATS,15.0,5833.0,8.749499999999998,5800.0,34.8,15,32,159,3,0
15,107,11342,15,120.0,SOL-STATS,15.0,6021.0,9.031500000000001,6543.0,39.25800000000001,15,44,155,4,2
16,222,49062,20,120.0,SOL-STATS,20.0,6877.0,10.3155,9298.0,55.788,20,60,176,18,0
17,163,26406,20,120.0,SOL-STATS,20.0,6148.0,9.222000000000001,7953.0,47.717999999999996,20,69,184,19,2
18,223,49506,20,120.0,SOL-STATS,20.0,7746.0,11.619,8259.0,49.553999999999995,20,63,208,17,0
19,146,21170,20,120.0,SOL-STATS,20.0,6771.0,10.156500000000001,9373.0,56.23800000000001,20,51,182,14,9
1,31,930,5,120.0,SOL-STATS,5.0,1807.0,2.7104999999999997,1585.0,9.51,5,8,62,0,0
20,165,27060,20,120.0,SOL-STATS,20.0,6503.0,9.7545,8579.0,51.47399999999999,20,51,166,7,0
21,216,46440,25,120.0,SOL-STATS,25.0,7683.0,11.524500000000003,10839.0,65.034,25,48,208,23,0
22,225,50400,25,120.0,SOL-STATS,25.0,6830.0,10.245000000000005,13124.0,78.74400000000001,25,109,188,30,0
23,203,41006,25,120.0,SOL-STATS,25.0,7480.0,11.219999999999999,10095.0,60.56999999999999,25,60,224,18,2
24,264,69432,25,120.0,SOL-STATS,25.0,6740.0,10.11,12294.0,73.76400000000001,25,75,176,7,0
25,236,55460,25,120.0,SOL-STATS,25.0,7015.0,10.522500000000008,11449.0,68.69400000000002,25,63,200,12,0
26,214,45582,30,120.0,SOL-STATS,30.0,7581.0,11.371499999999997,12226.0,73.35600000000001,30,61,195,13,0
27,266,70490,30,120.0,SOL-STATS,30.0,7777.0,11.665499999999994,13336.0,80.016,30,112,197,35,2
28,236,55460,30,120.0,SOL-STATS,30.0,9326.0,13.989000000000004,13622.0,81.73200000000003,30,103,244,22,4
29,235,54990,30,120.0,SOL-STATS,30.0,8334.0,12.501000000000005,12659.0,75.954,30,91,219,24,0
2,58,3306,5,120.0,SOL-STATS,5.0,2658.0,3.9869999999999983,2583.0,15.498000000000001,5,5,65,5,0
30,266,70490,30,120.0,SOL-STATS,30.0,8460.0,12.689999999999998,14272.0,85.632,30,96,232,30,10
31,240,57360,35,120.0,SOL-STATS,35.0,8454.0,12.680999999999997,14169.0,85.01399999999998,35,88,245,17,11
