instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs
10,75,5550,10,120.0,SOL-STATS,51.0,20524.0,30.786000000000005,4027.0,24.162000000000003,10,156,491,128,61
11,105,10920,15,120.0,SOL-STATS,56.0,29838.0,44.757,6309.0,37.85399999999999,15,292,767,202,174
12,107,11342,15,120.0,SOL-STATS,48.0,36902.0,55.35300000000001,5624.0,33.744,15,301,941,240,247
13,116,13340,15,120.0,SOL-STATS,73.0,29818.0,44.727000000000004,4861.0,29.166,15,345,825,200,170
14,96,9120,15,120.0,SOL-STATS,55.0,27188.0,40.782,5800.0,34.8,15,252,627,173,152
15,107,11342,15,120.0,SOL-STATS,63.0,29534.0,44.301,6543.0,39.257999999999996,15,342,688,185,140
16,222,49062,20,120.0,SOL-STATS,87.0,48949.0,73.42349999999999,9298.0,55.788000000000004,20,711,1338,330,323
17,163,26406,20,120.0,SOL-STATS,76.0,31159.0,46.73850000000001,7953.0,47.717999999999996,20,447,829,174,165
18,223,49506,20,120.0,SOL-STATS,85.0,50955.0,76.4325,8259.0,49.553999999999995,20,622,1311,350,333
19,146,21170,20,120.0,SOL-STATS,82.0,36533.0,54.79950000000001,9373.0,56.238000000000014,20,365,873,210,165
1,31,930,5,120.0,SOL-STATS,18.0,8804.0,13.206,1585.0,9.510000000000002,5,66,239,64,43
20,165,27060,20,120.0,SOL-STATS,75.0,50277.0,75.41550000000001,8579.0,51.474,20,730,1399,287,412
21,216,46440,25,120.0,SOL-STATS,78.0,47273.0,70.90950000000001,10145.0,60.870000000000005,24,566,1170,307,302
22,225,50400,25,120.0,SOL-STATS,94.0,38558.0,57.83699999999999,11933.0,71.59800000000001,24,516,974,269,211
23,203,41006,25,120.0,SOL-STATS,87.0,44964.0,67.446,10095.0,60.57,25,538,1165,283,259
24,264,69432,25,120.0,SOL-STATS,96.0,38075.0,57.1125,11731.0,70.38600000000001,24,528,950,214,192
25,236,55460,25,120.0,SOL-STATS,105.0,43438.0,65.15700000000001,11095.0,66.57000000000002,24,567,1032,285,211
26,214,45582,30,120.0,SOL-STATS,135.0,40700.0,61.05,11916.0,71.496,29,552,933,260,194
27,266,70490,30,120.0,SOL-STATS,118.0,35237.0,52.855500000000006,13336.0,80.01600000000002,30,580,888,241,160
28,236,55460,30,120.0,SOL-STATS,120.0,37999.0,56.99849999999999,12744.0,76.46400000000001,28,588,859,216,178
29,235,54990,30,120.0,SOL-STATS,111.0,32725.0,49.087500000000006,12659.0,75.954,30,472,760,219,122
2,58,3306,5,120.0,SOL-STATS,21.0,8629.0,12.9435,2583.0,15.498000000000001,5,99,193,47,48
30,266,70490,30,120.0,SOL-STATS,111.0,36441.0,54.661500000000004,13287.0,79.722,29,572,940,246,184
31,240,57360,35,120.0,SOL-STATS,153.0,37102.0,55.653000000000006,13418.0,80.50800000000002,33,489,919,242,163
32,287,82082,35,120.0,SOL-STATS,124.0,40487.0,60.730500000000006,12538.0,75.22800000000001,34,606,1039,262,197
33,313,97656,35,120.0,SOL-STATS,127.0,27290.0,40.935,15883.0,95.298,33,517,656,170,54
34,263,68906,35,120.0,SOL-STATS,145.0,34104.0,51.15600000000002,13267.0,79.60200000000002,32,469,793,192,105
35,269,72092,35,120.0,SOL-STATS,152.0,28150.0,42.224999999999994,15136.0,90.81599999999997,32,425,597,142,90
36,345,118680,40,120.0,SOL-STATS,138.0,31766.0,47.649000000000015,14408.0,86.44800000000002,36,533,845,230,125
37,287,82082,40,120.0,SOL-STATS,151.0,29997.0,44.99550000000001,15084.0,90.504,35,461,659,161,80
38,374,139502,40,120.0,SOL-STATS,143.0,34882.0,52.32300000000001,13658.0,81.94800000000001,33,620,906,270,172
39,356,126380,40,120.0,SOL-STATS,168.0,29390.0,44.08500000000001,15112.0,90.672,36,547,750,192,111
3,22,462,5,120.0,SOL-STATS,27.0,7001.0,10.501499999999998,1924.0,11.543999999999999,5,31,146,28,7
