instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs
10,75,5550,10,120.0,SOL-STATS,10.0,20524.0,30.786000000000005,4027.0,24.162000000000003,10,156,491,128,61
11,105,10920,15,120.0,SOL-STATS,15.0,29838.0,44.757,6309.0,37.85399999999999,15,292,767,202,174
12,107,11342,15,120.0,SOL-STATS,15.0,35754.0,53.631,5624.0,33.744,15,287,856,218,225
13,116,13340,15,120.0,SOL-STATS,15.0,29818.0,44.727000000000004,4861.0,29.166,15,345,825,200,170
14,96,9120,15,120.0,SOL-STATS,15.0,27188.0,40.782,5800.0,34.8,15,252,627,173,152
15,107,11342,15,120.0,SOL-STATS,15.0,29534.0,44.301,6543.0,39.257999999999996,15,342,688,185,140
16,222,49062,20,120.0,SOL-STATS,20.0,48949.0,73.42349999999999,9298.0,55.788000000000004,20,711,1338,330,323
17,163,26406,20,120.0,SOL-STATS,20.0,31159.0,46.73850000000001,7953.0,47.717999999999996,20,447,829,174,165
18,223,49506,20,120.0,SOL-STATS,19.0,53837.0,80.75550000000001,7544.0,45.26399999999999,19,559,1339,359,330
19,146,21170,20,120.0,SOL-STATS,20.0,36533.0,54.79950000000001,9373.0,56.238000000000014,20,365,873,210,165
1,31,930,5,120.0,SOL-STATS,5.0,5029.0,7.543500000000002,1585.0,9.510000000000002,5,48,153,31,1
20,165,27060,20,120.0,SOL-STATS,20.0,50277.0,75.41550000000001,8579.0,51.474,20,730,1399,287,412
21,216,46440,25,120.0,SOL-STATS,25.0,43464.0,65.19600000000001,10839.0,65.034,25,588,1152,293,265
22,225,50400,25,120.0,SOL-STATS,24.0,36159.0,54.2385,12386.0,74.31600000000002,24,503,878,251,150
23,203,41006,25,120.0,SOL-STATS,25.0,44964.0,67.446,10095.0,60.57,25,538,1165,283,259
24,264,69432,25,120.0,SOL-STATS,24.0,38075.0,57.11250000000001,11849.0,71.094,24,550,950,214,192
25,236,55460,25,120.0,SOL-STATS,24.0,44945.0,67.41749999999999,9978.0,59.868000000000016,24,516,1073,284,231
26,214,45582,30,120.0,SOL-STATS,29.0,41741.0,62.61149999999999,11780.0,70.67999999999999,29,549,973,267,207
27,266,70490,30,120.0,SOL-STATS,29.0,39952.0,59.928,12145.0,72.87,29,618,1041,290,213
28,236,55460,30,120.0,SOL-STATS,29.0,35816.0,53.724000000000004,12725.0,76.35000000000001,29,517,873,246,157
29,235,54990,30,120.0,SOL-STATS,29.0,40192.0,60.28800000000001,11915.0,71.49000000000001,29,590,981,244,224
2,58,3306,5,120.0,SOL-STATS,5.0,8629.0,12.9435,2583.0,15.498000000000001,5,99,193,47,48
30,266,70490,30,120.0,SOL-STATS,29.0,35891.0,53.83649999999999,12801.0,76.806,29,504,929,263,165
31,240,57360,35,120.0,SOL-STATS,34.0,36892.0,55.33800000000001,13425.0,80.55000000000003,34,579,948,281,205
32,287,82082,35,120.0,SOL-STATS,34.0,40333.0,60.4995,12229.0,73.37400000000001,34,586,966,258,166
33,313,97656,35,120.0,SOL-STATS,32.0,31496.0,47.244,14319.0,85.91400000000002,32,489,836,230,124
34,263,68906,35,120.0,SOL-STATS,34.0,33928.0,50.89200000000001,13569.0,81.41400000000003,34,477,809,222,111
35,269,72092,35,120.0,SOL-STATS,31.0,30806.0,46.20900000000002,14431.0,86.586,31,486,713,210,155
36,345,118680,40,120.0,SOL-STATS,36.0,33529.0,50.293499999999995,14029.0,84.17400000000004,36,533,840,239,135
37,287,82082,40,120.0,SOL-STATS,36.0,30184.0,45.275999999999996,15070.0,90.42,36,491,702,193,85
38,374,139502,40,120.0,SOL-STATS,36.0,30625.0,45.937499999999986,14986.0,89.91600000000001,36,555,826,190,103
39,356,126380,40,120.0,SOL-STATS,37.0,30365.0,45.5475,15063.0,90.378,37,621,875,226,156
3,22,462,5,120.0,SOL-STATS,5.0,7001.0,10.501499999999998,1924.0,11.543999999999999,5,31,146,28,7
40,269,72092,40,120.0,SOL-STATS,34.0,29612.0,44.418000000000006,15276.0,91.65600000000003,34,398,593,158,86
41,356,126380,45,120.0,SOL-STATS,23.0,10912.0,16.367999999999995,12085.0,72.50999999999999,23,162,285,44,30
42,367,134322,45,120.0,SOL-STATS,39.0,30573.0,45.8595,15559.0,93.35399999999998,39,567,805,220,136
43,408,166056,45,120.0,SOL-STATS,37.0,34964.0,52.44600000000001,14089.0,84.534,37,546,897,276,148
44,335,111890,45,120.0,SOL-STATS,39.0,36079.0,54.11850000000001,13464.0,80.78399999999999,39,633,960,254,186
45,392,153272,45,120.0,SOL-STATS,33.0,38925.0,58.38749999999999,12568.0,75.40800000000002,33,556,985,296,193
46,376,141000,50,120.0,SOL-STATS,35.0,39673.0,59.50949999999999,12816.0,76.89600000000003,35,629,984,253,226
