iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,yLPTime,maxFlowCutsTime,maxFlowCuts,intersectionCutsTime,phase1Time,noFeasibleSolution,error_message
1,5.0,73,27,2,,208.0,900.3383660316467,,,,,,,,,
2,10.0,73,27,4,,345.0,900.0086629390717,,,,,,,,,
3,15.0,73,27,5,,484.0,900.2387599945068,,,,,,,,,
4,20.0,73,27,7,,586.0,900.1574151515961,,,,,,,,,
5,25.0,73,27,9,,670.0,900.4327518939972,,,,,,,,,
6,30.0,73,27,11,,727.0,900.0513470172882,,,,,,,,,
7,35.0,73,27,13,,783.0,900.2219021320343,,,,,,,,,
8,40.0,73,27,15,,822.0,900.2977809906006,,,,,,,,,
9,45.0,73,27,17,,858.0,900.1862530708313,,,,,,,,,
10,50.0,73,27,19,,889.0,900.2813191413879,,,,,,,,,
11,55.0,73,27,21,,909.0,900.2256739139557,,,,,,,,,
12,60.0,73,27,24,,927.0,900.4069390296936,,,,,,,,,
13,65.0,73,27,25,,931.0,900.2740409374237,,,,,,,,,
14,70.0,73,27,26,,943.0,900.1251139640808,,,,,,,,,
15,75.0,73,27,27,all_positive_profit_blocks,947.0,900.514927148819,,,,,,,,,
