iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,yLPTime,maxFlowCutsTime,maxFlowCuts,intersectionCutsTime,phase1Time,noFeasibleSolution,error_message
1,5.0,517,56,1,,2105.0,908.4290981292725,,,,,,,,,
2,10.0,517,56,3,,2181.0,908.669261932373,,,,,,,,,
3,15.0,517,56,5,,2239.0,906.1014108657837,,,,,,,,,
4,20.0,517,56,6,,2263.0,903.4330730438232,,,,,,,,,
5,25.0,517,56,7,,2284.0,909.7263479232788,,,,,,,,,
6,30.0,517,56,9,,2308.0,912.4463109970093,,,,,,,,,
7,35.0,517,56,11,,2326.0,910.042732000351,,,,,,,,,
8,40.0,517,56,12,,2344.0,904.400759935379,,,,,,,,,
9,45.0,517,56,13,,2360.0,901.0937509536743,,,,,,,,,
10,50.0,517,56,15,,2373.0,901.870110988617,,,,,,,,,
11,55.0,517,56,17,,2390.0,905.1641759872437,,,,,,,,,
12,60.0,517,56,18,,2396.0,913.781898021698,,,,,,,,,
13,65.0,517,56,20,,2410.0,912.2699139118195,,,,,,,,,
14,70.0,517,56,21,,2420.0,902.8879089355469,,,,,,,,,
15,75.0,517,56,22,,2424.0,908.2331910133362,,,,,,,,,
16,80.0,517,56,21,,2428.0,906.4033541679382,,,,,,,,,
17,85.0,517,56,23,,2441.0,904.5326850414276,,,,,,,,,
18,90.0,517,56,25,,2448.0,918.1411249637604,,,,,,,,,
19,95.0,517,56,26,,2457.0,908.1259548664093,,,,,,,,,
20,100.0,517,56,27,,2458.0,907.6456589698792,,,,,,,,,
21,105.0,517,56,28,,2465.0,904.1891059875488,,,,,,,,,
22,110.0,517,56,29,,2468.0,906.9984481334686,,,,,,,,,
23,115.0,517,56,31,,2479.0,901.2555890083313,,,,,,,,,
24,120.0,517,56,33,,2482.0,917.815712928772,,,,,,,,,
25,125.0,517,56,32,,2483.0,901.0546720027924,,,,,,,,,
26,130.0,517,56,34,,2491.0,917.4397239685059,,,,,,,,,
27,135.0,517,56,36,,2500.0,904.7711901664734,,,,,,,,,
28,140.0,517,56,36,,2501.0,908.1788351535797,,,,,,,,,
29,145.0,517,56,37,,2506.0,910.6110200881958,,,,,,,,,
30,150.0,517,56,38,,2510.0,910.707526922226,,,,,,,,,
31,155.0,517,56,39,,2515.0,909.8895530700684,,,,,,,,,
32,160.0,517,56,40,,2519.0,913.2353179454803,,,,,,,,,
33,165.0,517,56,41,,2522.0,914.7580161094666,,,,,,,,,
34,170.0,517,56,42,,2527.0,917.668869972229,,,,,,,,,
35,175.0,517,56,43,,2532.0,902.9449310302734,,,,,,,,,
36,180.0,517,56,44,,2535.0,900.3415019512177,,,,,,,,,
37,185.0,517,56,44,,2537.0,904.7730441093445,,,,,,,,,
38,190.0,517,56,46,,2545.0,903.7222537994385,,,,,,,,,
39,195.0,517,56,48,,2549.0,901.6468970775604,,,,,,,,,
40,200.0,517,56,48,,2554.0,917.259605884552,,,,,,,,,
41,205.0,517,56,48,,2554.0,915.1967990398407,,,,,,,,,
42,210.0,517,56,50,,2560.0,902.450012922287,,,,,,,,,
43,215.0,517,56,51,,2562.0,915.7149889469147,,,,,,,,,
44,220.0,517,56,52,,2570.0,916.9338121414185,,,,,,,,,
45,225.0,517,56,51,,2567.0,900.927757024765,,,,,,,,,
46,230.0,517,56,52,,2566.0,901.3823928833008,,,,,,,,,
47,235.0,517,56,54,,2575.0,916.6329779624939,,,,,,,,,
48,240.0,517,56,52,,2571.0,901.6001768112183,,,,,,,,,
49,245.0,517,56,56,all_positive_profit_blocks,2577.0,916.7938621044159,,,,,,,,,
