Nodes: 353
Arcs: 946
Blocks: 114
UB: 943
LB: 1095
Used Time: 72.5121
Used Insecticide: 6621.81
N. Nodes: 17591
Runtime: 3788.35
X: 4 48
X: 12 35
X: 20 101
X: 20 57
X: 30 12
X: 34 30
X: 35 4
X: 35 164
X: 37 34
X: 37 88
X: 40 228
X: 41 42
X: 42 49
X: 44 45
X: 45 52
X: 45 40
X: 46 45
X: 47 46
X: 48 111
X: 49 47
X: 49 55
X: 52 227
X: 55 49
X: 55 59
X: 57 62
X: 57 58
X: 58 222
X: 59 225
X: 59 55
X: 61 20
X: 62 63
X: 63 216
X: 65 59
X: 88 37
X: 101 105
X: 101 20
X: 102 57
X: 103 102
X: 104 103
X: 104 105
X: 105 104
X: 105 101
X: 106 165
X: 107 106
X: 111 112
X: 112 44
X: 118 41
X: 164 165
X: 164 35
X: 165 104
X: 165 164
X: 216 61
X: 219 221
X: 220 223
X: 221 220
X: 222 219
X: 223 65
X: 225 353
X: 227 107
X: 228 118
X: 353 37
Y: 12 66
Y: 12 109
Y: 20 37
Y: 20 70
Y: 20 103
Y: 30 28
Y: 30 29
Y: 30 90
Y: 35 89
Y: 37 26
Y: 37 67
Y: 37 110
Y: 40 2
Y: 40 65
Y: 42 42
Y: 44 72
Y: 45 38
Y: 45 43
Y: 47 39
Y: 47 73
Y: 49 40
Y: 49 41
Y: 52 45
Y: 55 44
Y: 57 46
Y: 57 93
Y: 59 75
Y: 59 92
Y: 62 47
Y: 88 1
Y: 88 6
Y: 112 71
Y: 112 91
Y: 112 104
Y: 165 52
Y: 165 105
Y: 225 61
