Nodes: 980
Arcs: 2866
Blocks: 443
UB: 3921
LB: 4235
Used Time: 83.54
Used Insecticide: 7570.98
N. Nodes: 8240
Runtime: 3600.1
X: 2 245
X: 3 4
X: 4 31
X: 23 25
X: 25 337
X: 31 23
X: 134 208
X: 189 205
X: 191 197
X: 197 198
X: 198 250
X: 202 629
X: 204 248
X: 205 209
X: 205 206
X: 206 202
X: 207 191
X: 208 204
X: 209 205
X: 213 494
X: 239 354
X: 245 441
X: 248 438
X: 250 880
X: 266 336
X: 336 266
X: 336 213
X: 337 339
X: 339 452
X: 350 207
X: 354 937
X: 438 239
X: 439 2
X: 441 3
X: 452 501
X: 494 189
X: 501 787
X: 507 508
X: 508 980
X: 629 134
X: 787 789
X: 788 507
X: 789 788
X: 880 439
X: 937 350
X: 980 336
Y: 3 21
Y: 23 38
Y: 23 430
Y: 25 35
Y: 25 36
Y: 31 37
Y: 31 273
Y: 31 277
Y: 134 84
Y: 134 308
Y: 205 102
Y: 205 295
Y: 209 291
Y: 239 24
Y: 248 341
Y: 266 319
Y: 266 320
Y: 336 113
Y: 336 311
Y: 336 380
Y: 336 421
Y: 337 134
Y: 339 382
Y: 339 383
Y: 354 125
Y: 354 178
Y: 438 316
Y: 441 429
Y: 452 133
Y: 452 214
Y: 501 132
Y: 501 220
Y: 508 149
Y: 508 150
Y: 508 224
