Nodes: 353
Arcs: 946
Blocks: 114
UB: 1095
LB: 1095
Used Time: 59.4356
Used Insecticide: 5274.73
N. Nodes: 165
Runtime: 6.10163
X: 4 35
X: 6 215
X: 7 6
X: 12 30
X: 14 20
X: 18 22
X: 19 14
X: 20 61
X: 22 23
X: 23 86
X: 25 26
X: 26 18
X: 30 34
X: 34 37
X: 35 12
X: 37 7
X: 40 45
X: 41 118
X: 42 41
X: 43 42
X: 45 46
X: 46 53
X: 47 54
X: 48 4
X: 49 47
X: 50 43
X: 52 227
X: 53 52
X: 54 55
X: 55 59
X: 59 225
X: 61 62
X: 62 63
X: 63 353
X: 82 48
X: 86 19
X: 88 25
X: 106 82
X: 107 106
X: 118 228
X: 128 50
X: 215 88
X: 225 128
X: 227 107
X: 228 40
X: 353 49
Y: 14 109
Y: 18 32
Y: 18 33
Y: 18 34
Y: 23 36
Y: 25 1
Y: 30 29
Y: 35 66
Y: 37 26
Y: 37 110
Y: 40 65
Y: 40 71
Y: 41 40
Y: 43 42
Y: 47 39
Y: 47 44
Y: 52 43
Y: 52 45
Y: 52 72
Y: 61 103
Y: 62 47
Y: 63 93
Y: 86 35
Y: 88 67
Y: 106 89
Y: 107 105
Y: 128 61
Y: 128 92
