Nodes: 372
Arcs: 1063
Blocks: 152
UB: 253
LB: 253
Used Time: 80.0759
Used Insecticide: 5326.83
N. Nodes: 7975
Runtime: 25.4532
X: 1 248
X: 4 162
X: 5 4
X: 6 41
X: 9 68
X: 13 22
X: 14 21
X: 15 28
X: 19 15
X: 21 19
X: 22 308
X: 28 1
X: 35 66
X: 36 245
X: 41 35
X: 44 367
X: 45 239
X: 55 299
X: 56 279
X: 57 55
X: 58 5
X: 66 170
X: 68 130
X: 77 86
X: 78 85
X: 80 83
X: 81 78
X: 82 80
X: 83 36
X: 84 82
X: 85 95
X: 86 96
X: 89 81
X: 93 84
X: 95 372
X: 96 89
X: 97 113
X: 102 97
X: 113 119
X: 115 116
X: 116 93
X: 119 115
X: 123 128
X: 125 206
X: 128 195
X: 130 150
X: 131 123
X: 140 77
X: 142 140
X: 150 167
X: 153 9
X: 161 44
X: 162 249
X: 165 6
X: 167 168
X: 168 172
X: 170 223
X: 172 131
X: 178 267
X: 180 102
X: 188 270
X: 191 264
X: 193 13
X: 195 360
X: 196 197
X: 197 198
X: 198 125
X: 206 180
X: 211 193
X: 217 369
X: 221 165
X: 223 161
X: 239 142
X: 245 217
X: 247 153
X: 248 357
X: 249 262
X: 252 178
X: 257 310
X: 262 252
X: 263 257
X: 264 313
X: 267 268
X: 268 315
X: 269 314
X: 270 191
X: 276 56
X: 279 57
X: 299 58
X: 308 14
X: 310 351
X: 313 263
X: 314 316
X: 315 269
X: 316 317
X: 317 318
X: 318 188
X: 351 363
X: 357 247
X: 360 196
X: 363 211
X: 366 45
X: 367 366
X: 369 221
X: 372 276
Y: 1 5
Y: 1 148
Y: 13 16
Y: 57 105
Y: 80 39
Y: 82 32
Y: 95 34
Y: 96 130
Y: 102 49
Y: 116 45
Y: 119 100
Y: 123 114
Y: 131 56
Y: 131 119
Y: 150 61
Y: 165 66
Y: 178 69
Y: 188 76
Y: 197 21
Y: 249 7
Y: 249 121
Y: 257 70
Y: 257 71
Y: 262 92
Y: 270 77
Y: 360 131
